input_lang,output_lang
Are Taiko a kind of Japanese musical instruments?,Sunt Taiko un fel de instrumente muzicale japoneze?
How many ethnic groups live in Slovenia?,Câte grupuri etnice trăiesc în Slovenia?
List the seven kings of Rome.,Enumeră cei șapte regi ai Romei.
Who were the parents of Queen Victoria?,Cine au fost părinții reginei Victoria?
Who is the heaviest player of the Chicago Bulls?,Cine este cel mai greu jucător de la Chicago Bulls?
Which volcanos in Japan erupted since 2000?,Ce vulcani au erupt în Japonia din 2000?
Who is the tallest basketball player?,Cine este cel mai înalt jucător de basket?
Who is the host of the BBC Wildlife Specials?,Cine este prezentatorul pentru BBC Wildlife Specials?
In what city is the Heineken brewery?,În ce oraș este fabrica de bere Heineken?
When did Operation Overlord commence?,Când a început operațiunea Overlord?
Who developed Slack?,Cine a dezvoltat Slack?
How many seats does the home stadium of FC Porto have?,Câte locuri are stadionul lui FC Porto?
Who discovered Ceres?,Cine l-a descoperit pe Ceres?
What is the largest country in the world?,Care este cea mai mare țară din lume?
Who is the mayor of Paris?,Cine este primarul Parisului?
Who is the coach of Ankara's ice hockey team?,Cine este antrenorul echipei de hochei pe gheață din Ankara?
How much did the Lego Movie cost?,Cât de mult a costat filmul Lego?
Where does Piccadilly start?,Unde începe Piccadilly?
How many people live in Poland?,Câți oameni locuiesc în Polonia?
Who created Family Guy?,Cine a creat Family Guy?
Who wrote the song Hotel California?,Cine a compus cântecul Hotel California?
What is in a chocolate chip cookie?,Ce conține un biscuit cu fulgi de ciocolată?
Does Neymar play for Real Madrid?,Neymar joacă pentru Real Madrid?
Which computer scientist won an oscar?,Care informatician a câștigat un Oscar?
Who played Gus Fring in Breaking Bad?,Cine l-a jucat pe Gus Fring în Breaking Bad?
In which ancient empire could you pay with cocoa beans?,În ce imperiu antic puteai plăti cu boabe de cacao?
Which electronics companies were founded in Beijing?,Care companii de electronice au fost fondate în Beijing?
What is the capital of Cameroon?,Care este capitala Camerunului?
What is Batman's real name?,Care este numele real al lui Batman?
What form of government does Russia have?,Ce formă de guvern are Rusia?
Which Indian company has the most employees?,Ce companie indiană are cei mai mulți angajați?
What color expresses loyalty?,Ce culoare exprimă loialitate?
Who is the president of Eritrea?,Cine este președintele Eritreei?
Which films did Stanley Kubrick direct?,Ce filme a regizat Stanley Kubrick?
Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,Care filială a Lufthansa deservește atât Dortmund cât și Berlin Tegel?
Who composed the soundtrack for Cameron's Titanic?,Cine a compus coloana sonoră pentru Titanicul lui Cameron?
In which time zone is Rome?,Pe ce fus orar este Roma?
Who are the developers of DBpedia?,Cine sunt dezvoltatorii DBpedia?
Who is the king of the Netherlands?,Cine este regele Țărilor de Jos?
In which city did Nikos Kazantzakis die?,În ce oraș a murit Nikos Kazantsakis?
Give me a list of all critically endangered birds.,Dă-mi o listă cu toate păsările în pericol ridicat de dispariție.
Which companies produce hovercrafts?,Care companii produc aeroglisoare?
Did Elvis Presley have children?,A avut Elvis Presley copii?
In which city was the president of Montenegro born?,În ce oraș s-a născut președintele Muntenegrului?
Which country was Bill Gates born in?,În ce țară s-a născut Bill Gates?
In which countries do people speak Japanese?,În ce țari se vorbește japoneza?
What was the first Queen album?,Care a fost primul album Queen?
What country is Sitecore from?,Din ce țară este Sitecore?
Whom did Lance Bass marry?,Cu cine s-a căsătorit Lance Bass?
Who was Vincent van Gogh inspired by?,De către cine a fost Vincent van Gogh inspirat?
Who wrote the Game of Thrones theme?,Cine a scris tema din Urzeala Tronurilor?
When did Boris Becker end his active career?,Când și-a încheiat Boris Becker cariera activă?
To which party does the mayor of Paris belong?,Cărui partid aparține primarul Parisului?
Who was the doctoral supervisor of Albert Einstein?,Cine a fost conducătorul de doctorat al lui Albert Einstein?
In which city does Sylvester Stallone live?,În ce oraș trăiește Sylvester Stallone?
Who is the son of Sonny and Cher?,Cine este fiul lui Sonny și Cher?
In which city are the headquarters of the United Nations?,În ce oraș se află cartierul general al Națiunilor Unite?
Show me Hemingway's autobiography.,Arată-mi autobiografia lui Hemingway
Did Kaurismäki ever win the Grand Prix at Cannes?,Kaurismäki a câștigat vreodată premiul Grand Prix la Cannes?
Where is Syngman Rhee buried?,Unde este înmormântat Syngman Rhee?
Show me all books in Asimov's Foundation series.,Arată-mi toate cărțile din seria Fundația de Asimov
How high is the Yokohama Marine Tower?,Cât de înalt este Turnul Marine Yokohama?
What is the biggest stadium in Spain?,Care este cel mai mare stadion din Spania?
What are the five boroughs of New York?,Care sunt cele cinci cartiere din New York?
When did princess Diana die?,Când a murit prințesa Diana?
Are there any castles in the United States?,
Can you find frescoes in Crete?,
Do Urdu and Persian have a common root?,
Does the Ford Motor Company have a manufacturing plant in Malaysia?,
How many years was the Ford Model T manufactured?,
Give me all gangsters from the prohibition era.,
Give me all Seven Wonders of the Ancient World.,
Give me all chemical elements.,
How many rivers and lakes are in South Carolina?,
How many states are in Mexico?,
How many theories did Albert Einstein come up with?,
Is horse racing a sport?,
Is Pluto really a planet?,
Was Sigmund Freud married?,
What form of government is found in South Africa?,
What is the largest state in the United States?,
What is the longest river in the world?,
Which building after the Burj Khalifa has the most floors?,
What is the wavelength of indigo?,
What was the name of the famous battle in 1836 in San Antonio?,
What were the names of the three ships used by Columbus?,
When did Muhammad die?,
When was the De Beers company founded?,
When was John Adams born?,
Which American presidents were in office during the Vietnam War?,
Which city has the oldest running metro?,
Which holidays are celebrated around the world?,
Who assassinated President McKinley?,
Who discovered Pluto?,
Who killed Caesar?,
Who was buried in the Great Pyramid of Giza?,
Who was the first King of England?,
What was the final result of the War of the Roses?,
Who writes the Farmers' Almanac?,
How big is the earth's diameter?,
How many people live in Eurasia?,
Give me the runtime of Toy Story.,
What was the first name of the band Queens of the Stone Age?,
Give me the birth place of Frank Sinatra.,
Which university did Angela Merkel attend?,
List all boardgames by GMT.,Listă toate jocuri de masă de GMT. 
Who developed Skype?,Care dezvoltat Skype? 
Which people were born in Heraklion?,Care oameni au fost născut în Heraklion? 
In which U.S. state is Area 51 located?,În care SUA stat este Zonă 51 situat? 
Who is the mayor of New York City?,Care este  primar de Nou York Oraș? 
Which countries have places with more than two caves?,Care țări avea locuri cu Mai Mult decât Două peșteri? 
Where did Abraham Lincoln die?,Unde făcut Avraam Lincoln ? 
Give me all actors starring in movies directed by and starring William Shatner.,Da pe mine toate actori încearcă în filme dirijat de și încearcă William Shatner. 
What are the official languages of the Philippines?,Ce sunt  oficial limbi de  Filipine? 
Which movies starring Brad Pitt were directed by Guy Ritchie?,Ce filme cu Brad Pitt ca protagonist au fost regizate de Guy Ritchie?
Which state of the USA has the highest population density?,Care stat de  Statele Unite ale Americii are  cel mai inalt populație densitate? 
Which organizations were founded in 1950?,Care organizații au fost fondat în 1950? 
Give me the Apollo 14 astronauts.,Da pe mine  Apollo 14 astronauți. 
Who wrote the book The pillars of the Earth?,Care a scris  carte  piloni de  Pământ? 
Which state of the United States of America has the highest density?,Care stat de  Unit statele de America are  cel mai inalt densitate? 
Which spaceflights were launched from Baikonur?,Ce zboruri spațiale au fost lansate din Baikonur?
Give me a list of all trumpet players that were bandleaders.,Da pe mine A listă de toate trompeta jucători acea au fost bandleaders. 
Which U.S. states are in the same timezone as Utah?,Care SUA statele sunt în  la fel fus orar la fel de Utah? 
Which U.S. states possess gold minerals?,Care SUA statele poseda aur minerale? 
Show me all museums in London.,Arată-mi toate muzeele din Londra
Show me all basketball players that are higher than 2 meters.,Arată-mi toți jucătorii de basket care sunt mai înalți de 2 metri.
What movies does Jesse Eisenberg play in?,În ce filme joacă Jesse Eisenberg?
What kind of music did Lou Reed play?,Ce fel de muzică a cântat Lou Reed?
Where do the Red Sox play?,Unde joacă Red Sox?
How many movies did Park Chan-wook direct?,Câte filme a regizat Park Chan-wook?
Which movies star both Liz Taylor and Richard Burton?,În ce filme joacă atât Liz Taylor cât și Richard Burton?
Which writers studied in Istanbul?,Care scriitori au studiat în Istanbul?
What other books have been written by the author of The Fault in Our Stars?,Ce alte cărți avea fost scris de  autor de  eroare în Al nostru Stele? 
Is Christian Bale starring in Batman Begins?,Este creştin Balot încearcă în Batman Începe? 
What is the smallest city by area in Germany?,Ce este  cel mai mic oraș de zonă în Germania? 
List all episodes of the first season of the HBO television series The Sopranos!,Listă toate episoade de  primul sezon de  HBO televiziune serie  Sopranos! 
Does the new Battlestar Galactica series have more episodes than the old one?,Face  nou Battlestar Galactica serie avea Mai Mult episoade decât  vechi unu? 
In which U.S. state is Fort Knox located?,În care SUA stat este Fort Knox situat? 
Give me all cities in New Jersey with more than 100000 inhabitants.,Da pe mine toate orase în Nou jerseu cu Mai Mult decât 100000 locuitori. 
What is the largest city in america?,Ce este  cea mai mare oraș în America? 
What is the alma mater of the chancellor of Germany Angela Merkel?,Ce este  alma mamă de  cancelar de Germania Angela Merkel? 
Who wrote the book Les Piliers de la terre?,Care a scris  carte  piloni de  terre? 
Where is the birthplace of Goethe?,Unde este  locul naşterii de Goethe? 
Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,A fost  cubanez rachetă Criză mai devreme decât  Dafin de porci Invazie? 
Who created Wikipedia?,Care creată Wikipedia? 
What is the highest mountain in Saxony Germany?,Ce este  cel mai inalt Munte în Saxonia Germania? 
Who is the current federal minister of finance in Germany?,Care este  actual federal ministru de finanţa în Germania? 
In which country does the Nile start?,În care țară face  Nile start? 
In which state Penn State University is located?,În care stat Penn Stat Universitate este situat? 
How large is the area of UK?,Cum mare este  zonă de REGATUL UNIT? 
how much is the elevation of Düsseldorf Airport ?,Cum mult este  elevație de Düsseldorf Aeroport ? 
How much is the population of mexico city ?,Cum mult este  populație de Mexic oraș ? 
when was the founding date of french fifth republic?,cand a fost  fondator Data de limba franceza a cincea republică? 
Which river does the Brooklyn Bridge cross?,Care râu face  Brooklyn Pod cruce? 
When was the last episode of the TV series Friends aired?,Cand a fost  ultimul episod de  televizor serie Prieteni difuzat? 
Is the wife of president Obama called Michelle?,Este  soție de președinte Obama denumit Michelle? 
Who is 8th president of US?,Care este a 8- președinte de S.U.A? 
how much is the total population of  european union?,Cum mult este  total populație de european uniune? 
What is the birth name of Adele?,Ce este  naștere Nume de Adele? 
What is the population of Cairo?,Ce este  populație de Cairo? 
Is Frank Herbert still alive?,Este Sincer Herbert încă în viaţă? 
What is the last work of Dan Brown?,Ce este  ultimul muncă de și Maro? 
Where is Sungkyunkwan University?,Unde este Sungkyunkwan Universitate? 
Who is the author of the interpretation of dreams?,Care este  autor de  interpretare de vise? 
When was the death  of  Shakespeare?,Cand a fost  moarte de Shakespeare? 
Where is the origin of Carolina reaper?,Unde este  origine de Carolina secerător? 
In which programming language is GIMP written?,În care programare limba este GIMP scris? 
Who was the wife of U.S. president Lincoln?,Care a fost  soție de SUA președinte Lincoln? 
Which species does an elephant belong?,Care specie face un elefant aparține? 
With how many countries Iran has borders?,Cu Cum mulți țări Iran are frontiere? 
Who was the successor of John F. Kennedy?,Care a fost  succesor de Ioan F. Kennedy? 
Which country does the creator of Miffy come from?,Care țară face  creator de Miffy veni din? 
List the children of Margaret Thatcher.,Listă  copii de Margaret Thatcher. 
how big is the total area of North Rhine- Westphalia?,Cum mare este  total zonă de Nord Rin Westfalia? 
What is Donald Trump's main business?,Ce este Donald lui Trump principal Afaceri? 
When will start the final match of the football world cup 2018?,Cand voi start  final Meci de  fotbal lume ceașcă 2018? 
how much is the population  Iraq?,Cum mult este  populație Irak? 
How tall is Claudia Schiffer?,Cum înalt este Claudia Schiffer? 
how much is the population densty rank of germany?,Cum mult este  populație densitate rang de Germania? 
List all games by GMT.,Listă toate jocuri de GMT. 
In which country is the Limerick Lake?,În care țară este  Limerick Lac? 
Who are the writers of the Wall album of Pink Floyd?,Care sunt  Scriitori de  Perete album de Roz Floyd? 
What is the largest city in Australia?,Ce este  cea mai mare oraș în Australia? 
Was Natalie Portman born in the United States?,A fost Natalie Portman născut în  Unit Statele? 
Which television shows were created by Walt Disney?,Care televiziune spectacole au fost creată de Walt Disney? 
Was U.S. president Jackson involved in a war?,A fost SUA președinte Jackson implicat în A război? 
Did Tesla win a nobel prize in physics?,Făcut Tesla victorie A nobel premiu în fizică? 
Who composed the music for Harold and Maude?,Care compusă  muzică pentru Harold și Maude? 
Is proinsulin a protein?,Este proinsulina A proteină? 
Is there a video game called Battle Chess?,Este Acolo A video joc denumit Luptă Şah? 
Did Socrates influence Aristotle?,Făcut Socrate influență Aristotel? 
How tall is Michael Jordan?,Cum înalt este Michael Iordania? 
What did Bruce Carver die from?,Ce făcut Bruce Sculptor  din? 
Is Michelle Obama the wife of Barack Obama?,Este Michelle Obama  soție de Barack Obama? 
What is the capital of Canada?,Ce este  capital de Canada? 
What is the currency of the Czech Republic?,Ce este  valută de  ceh Republică? 
Give me all Canadian Grunge record labels.,Da pe mine toate canadian Grunge record etichete. 
In which city did John F. Kennedy die?,În care oraș făcut Ioan F. Kennedy ? 
What is the highest mountain in Australia?,Ce este  cel mai inalt Munte în Australia? 
