input_lang,output_lang
Who is starring in Spanish movies produced by Benicio del Toro?,¿Quien protagoniza peliculas españolas producidas por Benicio del Toro?
Who is the manager of Real Madrid?,¿Quien es el manager de Real Madrid?
Give me the currency of China.,¿Cual es la moneda de China?
Which movies starring Mickey Rourke were directed by Guy Ritchie?,¿Que peliculas protagonizadas por Mickey Rourke han sido dirigidas por Guy Ritchie?
Is Darth Vader Luke’s father?,¿Es Darth Vader el padre de Luke?
How many companies were founded by the founder of Facebook?,¿Cuantas compañías han sido fundadas por el fundador de Facebook?
How many companies were founded in the same year as Google?,¿Cuántas compañías fueron fundadas en el mismo año que Google?
Which subsidiary of TUI Travel serves both Glasgow and Dublin?,¿Qué subsidiario de TUI Travel vuela en Glasgow y en Dublin?
How many airlines are members of the Star Alliance?,¿Cuántas compañías son miembros del la Star Alliance?
Give me all spacecrafts that flew to Mars.,Dame todas las naves espaciales que han volado a Marte
Which musician wrote the most books?,¿Qué músico ha escrito el mayor numero de libros?
Show me everyone who was born on Halloween.,Muestrame todas las personas nacidas en Halloween
Give me all Swiss non-profit organizations.,Dame todas las organizaciones Suizas sin animo de lucro
In which country is Mecca located?,¿En que país se sitúa la Meca?
What is the net income of Apple?,¿Cual es la ganancia en neto de Apple?
What does the abbreviation FIFA stand for?,¿Qué significa la abreviación FIFA?
When did the Ming dynasty dissolve?,¿Cuándo se disolvió la dinastía de Ming?
Which museum in New York has the most visitors?,¿Qué museo en Nueva York tiene el mayor numero de visitantes?
Is Lake Baikal bigger than the Great Bear Lake?,¿Es el lago Baikal mayor que el lago Great Bear?
Desserts from which country contain fish?,¿Los postres de que país contienen pescado?
What is the highest mountain in Italy?,¿Cuál es la montaña mas alta en Italia?
Where did the architect of the Eiffel Tower study?,¿Dónde estudio el arquitecto de la torre Eiffel?
Which Greek parties are pro-European?,¿Qué partidos Griegos están a favor de Europa?
What is the height difference between Mount Everest and K2?,¿Cuál es la diferencia de altura entra el Monte Everest y K2?
Who is the mayor of Rotterdam?,¿Quién es el alcalde de Rotterdam?
In which city were the parents of Che Guevara born?,¿En que ciudad nacieron los padres de Che Guevara?
How high is the lighthouse in Colombo?,¿Cómo de alta el faro de Colombo?
Are Taiko a kind of Japanese musical instruments?,¿Es el Taiko un tipo de instrumento musical?
How many ethnic groups live in Slovenia?,¿Cuántos grupos étnicos viven en Eslovenia?
List the seven kings of Rome.,Lista los siete reyes de Roma.
Who were the parents of Queen Victoria?,¿Quiénes fueron los padres de la reina Victoria?
Who is the heaviest player of the Chicago Bulls?,¿Quien es el jugador mas pesado del los Chicago Bulls?
Which volcanos in Japan erupted since 2000?,¿Que volcanos han erupcionado en Japon desde el 2000?
Who is the tallest basketball player?,Quien es el jugador de baloncesto mas alto?
Who is the host of the BBC Wildlife Specials?,¿Quién es el anfitrión de los especiales de la BBC Wildlife?
In what city is the Heineken brewery?,¿En qué ciudad esta la fábrica de cerveza Heineken?
When did Operation Overlord commence?,¿Cuándo comenzó la operación Overlord?
Who developed Slack?,¿Quien desarrolló Slack?
How many seats does the home stadium of FC Porto have?,¿Cuántos asientos tiene el estadio del FC Porto?
Who discovered Ceres?,¿Quién descubrió Ceres?
What is the largest country in the world?,¿Cuál es el país más grande del mundo?
Who is the mayor of Paris?,¿Quién es el alcalde de París?
Who is the coach of Ankara's ice hockey team?,¿Quién es el entrenador del equipo de hockey sobre hielo de Ankara?
How much did the Lego Movie cost?,¿Cuánto cuesta la película de Lego?
Where does Piccadilly start?,¿Dónde empieza Piccadilly?
How many people live in Poland?,¿Cuántas personas viven en Polonia?
Who created Family Guy?,¿Quién creó Family Guy?
Who wrote the song Hotel California?,¿Quién escribió la canción Hotel California?
What is in a chocolate chip cookie?,¿Qué contiene una galleta de chocolate?
Does Neymar play for Real Madrid?,¿juega Neymar en el Real Madrid?
Which computer scientist won an oscar?,¿Qué ingeniero informático ganó un Oscar?
Who played Gus Fring in Breaking Bad?,¿Quién interpreto a Gus Fring en Breaking Bad?
In which ancient empire could you pay with cocoa beans?,En que imperio antiguo pagaría con granos de cacao?
Which electronics companies were founded in Beijing?,¿Qué compañías de electrónica fueron fundadas en Pekín?
What is the capital of Cameroon?,¿Cuál es la capital de Camerún?
What is Batman's real name?,¿Cuál es el verdadero nombre de Batman?
What form of government does Russia have?,¿Qué forma de gobierno tiene Rusia?
Which Indian company has the most employees?,¿Qué empresa de la India tiene el mayor número de empleados?
What color expresses loyalty?,¿Qué color expresa lealtad?
Who is the president of Eritrea?,¿Quién es el presidente de Eritrea?
Which films did Stanley Kubrick direct?,¿Qué películas dirigio Stanley Kubrick?
Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,¿Qué subsidiario de Lufthansa vuela en Dortmund y en Berlin?
Who was the successor of John F. Kennedy?,¿Quién fué el sucesor de John F. Kennedy?
Who composed the soundtrack for Cameron's Titanic?,¿Quién compuso la banda sonora del Titanic de Cameron?
In which time zone is Rome?,¿En qué zona horaria esta Roma?
Who are the developers of DBpedia?,¿Quiénes son los desarrolladores de DBpedia?
Who is the king of the Netherlands?,¿Quién es el rey de los Países Bajos?
In which city did Nikos Kazantzakis die?,¿En que ciudad murió Nikos Kazantzakis?
Give me a list of all critically endangered birds.,Dame una lista de todas las aves en peligro de extinción.
Which companies produce hovercrafts?,¿Qué compañías producen aerodeslizadores?
Did Elvis Presley have children?,Tuvo hijos Elvis Presley?
In which city was the president of Montenegro born?,¿En que ciudad nació el presidente de Montenegro?
Which country was Bill Gates born in?,¿En qué país nació Bill Gates?
In which countries do people speak Japanese?,¿En qué países se habla japonés?
What was the first Queen album?,¿Cuál fue el primer álbum de Queen?
What country is Sitecore from?,¿De qué país es Sitecore?
Whom did Lance Bass marry?,¿Con quien se casó Lance Bass?
Who was Vincent van Gogh inspired by?,¿Quién inspiro a Vincent van Gogh?
Who wrote the Game of Thrones theme?,¿Quién escribió el tema del Juego de Tronos?
When did Boris Becker end his active career?,¿Cuándo termino Boris Becker su carrera como actor?
To which party does the mayor of Paris belong?,¿A qué partido politico pertenece el alcalde de París?
Who was the doctoral supervisor of Albert Einstein?,¿Quien es el supervisor de doctorado de Albert Einstein?
In which city does Sylvester Stallone live?,¿En qué ciudad vive Sylvester Stallone?
Who is the son of Sonny and Cher?,¿Quién es el hijo de Sonny y Cher?
In which city are the headquarters of the United Nations?,¿En qué ciudad se encuentra la sede de las Naciones Unidas?
Show me Hemingway's autobiography.,Muéstrame la autobiografía Hemingway.
Did Kaurismäki ever win the Grand Prix at Cannes?,¿Gano Kaurismäki alguna vez el Gran Prix de Cannes?
Where is Syngman Rhee buried?,¿Dónde está enterrado Syngman Rhee?
Show me all books in Asimov's Foundation series.,Muéstrame todos los libros en la serie Fundación de Asimov
How high is the Yokohama Marine Tower?,¿Cómo de alta el la torre Yokohama Marine?
Does the new Battlestar Galactica series have more episodes than the old one?,¿Tiene la nueve serie de Battlestar-Galactica más episodios que la anterior?
What is the biggest stadium in Spain?,¿Cuál es el estadio más grande de España?
Which professional surfers were born on the Philippines?,¿Qué surfistas profesionales nacieron en las Filipinas?
What are the five boroughs of New York?,¿Cuáles son los cinco condados de Nueva York?
When did princess Diana die?,¿Cuándo murió la princesa Diana?
Are there any castles in the United States?,
Can you find frescoes in Crete?,
Do Urdu and Persian have a common root?,
Does the Ford Motor Company have a manufacturing plant in Malaysia?,
How many years was the Ford Model T manufactured?,
Give me all gangsters from the prohibition era.,
Give me all Seven Wonders of the Ancient World.,
Give me all chemical elements.,
How many rivers and lakes are in South Carolina?,
How many states are in Mexico?,
How many theories did Albert Einstein come up with?,
Is horse racing a sport?,
Is Pluto really a planet?,
Was Sigmund Freud married?,
What form of government is found in South Africa?,
What is the largest state in the United States?,
What is the longest river in the world?,
Which building after the Burj Khalifa has the most floors?,
What is the wavelength of indigo?,
What was the name of the famous battle in 1836 in San Antonio?,
What were the names of the three ships used by Columbus?,
When did Muhammad die?,
When was the De Beers company founded?,
When was John Adams born?,
Which American presidents were in office during the Vietnam War?,
Which city has the oldest running metro?,
Which holidays are celebrated around the world?,
Who assassinated President McKinley?,
Who discovered Pluto?,
Who killed Caesar?,
Who was buried in the Great Pyramid of Giza?,
Who was the first King of England?,
What was the final result of the War of the Roses?,
Who writes the Farmers' Almanac?,
How big is the earth's diameter?,
How many people live in Eurasia?,
Give me the runtime of Toy Story.,
What was the first name of the band Queens of the Stone Age?,
Give me the birth place of Frank Sinatra.,
Which university did Angela Merkel attend?,
List all boardgames by GMT.,Lista todas juegos de mesa por GMT. 
Who developed Skype?,Quien desarrollado Skype? 
Which people were born in Heraklion?,Cual gente fueron nacido en Heraklion? 
In which U.S. state is Area 51 located?,En cual Nosotros estado es Zona 51 ¿situado? 
Where did Abraham Lincoln die?,Dónde hizo Abrahán Lincoln el? 
Give me all actors starring in movies directed by and starring William Shatner.,Dame todos los actores de películas dirigidas por William Shatner en las qué también haya actúado el mismo.
Which movies starring Brad Pitt were directed by Guy Ritchie?,¿Que peliculas protagonizadas por Brad Pitt han sido dirigidas por Guy Ritchie?
Give me the Apollo 14 astronauts.,Dame todos los astronautas de Apolo 14?
Who wrote the book The pillars of the Earth?,Quien escribió el libro los pilares de el ¿Tierra? 
Which state of the United States of America has the highest density?,Cual estado de el Unido Estados de America tiene el más alto ¿densidad? 
Which spaceflights were launched from Baikonur?,¿Qué misiones espaciales partieron desde Baionur?
Give me a list of all trumpet players that were bandleaders.,Dame una lista de todos los trompeteros que fueron líderes de un grupo.
Which U.S. states are in the same timezone as Utah?,¿Qué estados americanos se encuentran en la misma zona que Utah?
Show me all museums in London.,Muéstrame todos los museos en Londres
Show me all basketball players that are higher than 2 meters.,Muéstrame todos los jugadores de baloncesto que tienes mas de 2 metros de altura
What movies does Jesse Eisenberg play in?,¿En qué películas participa Jesse Eisenberg?
What kind of music did Lou Reed play?,¿Qué tipo de música tocaba Lou Reed?
Where do the Red Sox play?,¿Dónde juegan los Red Sox?
How many movies did Park Chan-wook direct?,¿Cuántas películas dirigió Park Chan-wook?
Which movies star both Liz Taylor and Richard Burton?,¿Qué películas protagonizan juntos Liz Taylor y Richard Burton?
Which writers studied in Istanbul?,¿Que escritores estudiaron en Estambul?
What other books have been written by the author of The Fault in Our Stars?,Qué otro libros tener estado escrito por el autor de los Culpa en Nuestra ¿Estrellas? 
What is the smallest city by area in Germany?,Qué es el pequeñísimo ciudad por zona en ¿Alemania? 
What is the largest city in america?,Qué es el más grande ciudad en ¿America? 
What is the alma mater of the chancellor of Germany Angela Merkel?,Qué es el alma mater de el canciller de Alemania Angela Merkel? 
Where is the birthplace of Goethe?,Dónde es el lugar de nacimiento de ¿Goethe? 
What is the highest mountain in Saxony Germany?,Qué es el más alto montaña en Sajonia ¿Alemania? 
Who is the current federal minister of finance in Germany?,Quien es el corriente federal ministro de financiar en ¿Alemania? 
In which state Penn State University is located?,En cual estado Penn Estado Universidad es ¿situado? 
How large is the area of UK?,Cómo grande es el zona de ¿REINO UNIDO? 
how much is the elevation of Düsseldorf Airport ?,cómo mucho es el elevación de Düsseldorf Aeropuerto ? 
How much is the population of mexico city ?,Cómo mucho es el población de Méjico ciudad ? 
when was the founding date of french fifth republic?,cuando estaba el establecimiento fecha de francés quinto ¿república? 
When was the last episode of the TV series Friends aired?,Cuando estaba el último episodio de el televisión serie Amigos aireado? 
Who is 8th president of US?,Quien es Octavo presidente de ¿NOS? 
how much is the total population of  european union?,cómo mucho es el total población de europeo ¿Unión? 
What is the birth name of Adele?,Qué es el nacimiento nombre de Adele? 
What is the population of Cairo?,Qué es el población de ¿El Cairo? 
What is the last work of Dan Brown?,Qué es el último trabajo de Y ¿Marrón? 
Where is Sungkyunkwan University?,Dónde es Sungkyunkwan ¿Universidad? 
Who is the author of the interpretation of dreams?,Quien es el autor de el interpretación de ¿Sueños? 
When was the death  of  Shakespeare?,Cuando estaba el muerte de Shakespeare? 
Where is the origin of Carolina reaper?,Dónde es el origen de Carolina ¿segador? 
Which species does an elephant belong?,Cual especies hace un elefante ¿pertenecer a? 
With how many countries Iran has borders?,Con cómo muchos países Corrí tiene fronteras? 
how big is the total area of North Rhine- Westphalia?,cómo grande es el total zona de norte Rhine- Westfalia? 
What is Donald Trump's main business?,Qué es Donald Trump principal ¿negocio? 
When will start the final match of the football world cup 2018?,Cuando será comienzo el final partido de el fútbol mundo vaso 2018? 
how much is the population  Iraq?,cómo mucho es el población ¿Irak? 
how much is the population densty rank of germany?,cómo mucho es el población densidad rango de ¿Alemania? 
Who are the writers of the Wall album of Pink Floyd?,Quien son el escritores de el pared álbum de Rosado Floyd? 
